iter	RMSE
345	520.2288389
346	520.1157513
347	520.0495235
348	519.9226913
349	519.8510277
350	519.7690818
351	519.6840244
352	519.3888257
353	519.252859
354	519.0324689
355	518.932161
356	518.7402319
357	518.4989477
358	518.2908879
359	518.1680089
360	518.0545913
361	517.9176509
362	517.7841663
363	517.7094716
364	517.5820265
365	517.1441449
366	516.9563015
367	516.7981359
368	516.6422616
369	516.5150163
370	516.3981735
371	516.3545593
372	516.0083511
373	515.8206732
374	515.6536957
375	515.5356236
376	515.4430072
377	515.3345288
378	515.1499182
379	515.0225565
380	514.866869
381	514.6027046
382	514.5093065
383	514.4330317
384	514.237834
385	514.0517613
386	513.9504678
387	513.6700184
388	513.3751866
389	513.2559077
390	513.013974
391	512.9458282
392	512.6607959
393	512.5513346
394	512.319658
395	512.2116146
396	512.091479
397	512.0007241
398	511.8889378
399	511.8201163
400	511.6019208
401	511.5374928
402	511.5009941
403	511.4060239
404	511.2588844
405	511.028057
406	510.805446
407	510.7483362
408	510.6000657
409	510.4743216
410	510.2425409
411	510.0817112
412	510.0358729
413	509.8795277
414	509.7010905
415	509.5402974
416	509.415455
417	509.3557121
418	509.2660672
419	509.1747103
420	509.0270561
421	508.9773352
422	508.7371458
423	508.55136
424	508.364233
425	508.23482
426	508.1617316
427	508.0721323
428	507.9336347
429	507.6608209
430	507.4659102
431	507.3049301
432	507.1516233
433	507.0632282
434	506.9688095
435	506.927886
436	506.7023643
437	506.5698404
438	506.2885846
439	506.2322014
440	506.1122026
441	505.9048665
442	505.6377936
443	505.4024506
444	505.2418629
445	505.1817429
446	505.0350812
447	504.7726807
448	504.6957896
449	504.4257326
450	504.3547155
451	504.2478152
452	504.137178
453	504.0216693
454	503.9610693
455	503.8236718
456	503.7373662
457	503.7265191
458	503.6474705
459	503.361153
460	503.2957014
461	503.2146307
462	503.1023521
463	502.9655002
464	502.849664
465	502.6344197
466	502.5525842
467	502.4305079
468	502.2786448
469	502.1676259
470	502.1456817
471	502.0047208
472	501.9440255
473	501.8134683
474	501.6368531
475	501.5807657
476	501.5716187
477	501.4244475
478	501.2645603
479	501.1472718
480	501.0639284
481	500.9017695
482	500.8448897
483	500.7072485
484	500.5890494
485	500.4792011
486	500.3497764
487	500.2669645
488	500.0857462
489	499.8643084
490	499.8137197
491	499.7398345
492	499.6335614
493	499.557816
494	499.4438477
495	499.3514607
496	499.1067996
497	499.0213287
498	498.8642277
499	498.6791679
500	498.6600846
501	498.6087675
502	498.4480065
503	498.3090507
504	498.1589323
505	498.0467332
506	497.7912949
507	497.6632482
508	497.5269162
509	497.4943341
510	497.4641521
511	497.2820977
512	497.1107733
513	496.9681314
514	496.7638788
515	496.5937053
516	496.3645185
517	496.2738934
518	496.1273709
519	496.0769147
520	495.9658273
521	495.8048253
522	495.7330887
523	495.6895939
524	495.5377152
525	495.4703914
526	495.3895568
527	495.2636771
528	495.1686647
529	495.1248129
530	494.963657
531	494.8672769
532	494.7659858
533	494.6464192
534	494.5935601
535	494.5492579
536	494.4591119
537	494.4120469
538	494.2520898
539	494.1856271
540	494.0096312
541	493.9807477
542	493.7735831
543	493.5838281
544	493.509323
545	493.424144
546	493.2644352
547	493.1429934
548	493.0029476
549	492.8970985
550	492.7798865
551	492.6737067
552	492.4990114
553	492.417509
554	492.2769835
555	492.1625538
556	492.1493231
557	492.0727102
558	491.9421394
559	491.7600466
560	491.6491101
561	491.4885507
562	491.3952996
563	491.3691835
564	491.1963012
565	491.0940736
566	490.9469094
567	490.8218043
568	490.7808721
569	490.7645903
570	490.6458251
571	490.5267104
572	490.4404965
573	490.2782256
574	490.1126989
575	490.0913612
576	490.0002322
577	489.8888499
578	489.8686725
579	489.8356063
580	489.8212325
581	489.7156117
582	489.5795553
583	489.4576077
584	489.3508106
585	489.2714851
586	489.1322147
587	489.1100534
588	488.9961006
589	488.8924976
590	488.7299733
591	488.5029078
592	488.3682855
593	488.2609105
594	488.0652476
595	487.9552402
596	487.7815869
597	487.693544
598	487.6196496
599	487.5335056
600	487.4654025
601	487.3754199
602	487.3049985
603	487.1870167
604	487.0961029
605	487.0085878
606	486.9142232
607	486.8888815
608	486.8544407
609	486.825828
610	486.7241511
611	486.5783769
612	486.4103592
613	486.3138017
614	486.1834505
615	486.1463779
616	486.038862
617	486.0036574
618	485.8652202
619	485.7816574
620	485.6790947
621	485.6039818
622	485.5133631
623	485.3718107
624	485.3135305
625	485.2590319
626	485.1685802
627	485.1049523
628	485.0792105
629	484.9872223
630	484.8305932
631	484.6864473
632	484.5523449
633	484.4827453
634	484.3242286
635	484.2079402
636	484.0834653
637	484.0281045
638	483.9596978
639	483.8226792
640	483.736185
641	483.533584
642	483.4608061
643	483.4155464
644	483.3622317
645	483.2219718
646	483.1835901
647	483.0832445
648	483.0389785
649	482.9027734
650	482.8247061
651	482.7743526
652	482.6638808
653	482.5226458
654	482.4308376
655	482.4091466
656	482.2801255
657	482.191016
658	482.1159941
659	482.0427093
660	481.9599947
661	481.88488
662	481.784609
663	481.6065505
664	481.4839095
665	481.3448666
666	481.1927827
667	481.1139416
668	481.0477289
669	480.9422805
670	480.7293545
671	480.6068551
672	480.5606996
673	480.4716802
674	480.3864204
675	480.3065577
676	480.2837772
677	480.2233381
678	480.0769822
679	480.045464
680	479.9712504
681	479.9574186
682	479.9404295
683	479.8617365
684	479.8376815
685	479.80247
686	479.6801787
687	479.5799718
688	479.5291446
689	479.4599073
690	479.4040264
691	479.3378664
692	479.2346535
693	479.215329
694	479.1414978
695	479.0674705
696	479.0047786
697	478.9421394
698	478.8044598
699	478.725946
700	478.6944619
701	478.626686
702	478.6086296
703	478.5540247
704	478.4469568
705	478.3679004
706	478.3261917
707	478.2560337
708	478.1545566
709	478.0470445
710	478.0223368
711	477.9984919
712	477.9113554
713	477.8338877
714	477.6790261
715	477.6447176
716	477.5533465
717	477.4211148
718	477.2871491
719	477.2180293
720	477.1056305
721	477.0024739
722	476.9459232
723	476.8881916
724	476.8220809
725	476.7525876
726	476.6663574
727	476.6441719
728	476.5914677
729	476.4873094
730	476.3994324
731	476.2506964
732	476.148265
733	476.0443867
734	475.878728
735	475.6887393
736	475.5941646
737	475.5304989
738	475.4014131
739	475.2350123
740	475.1647237
741	475.0838932
742	474.932027
743	474.8552043
744	474.7822351
745	474.7387002
746	474.6862853
747	474.583096
748	474.4710139
749	474.3666082
750	474.3329215
751	474.2302225
752	474.1049217
753	474.0180839
754	473.7834372
755	473.6920485
756	473.5575778
757	473.5186054
758	473.4141099
759	473.3352758
760	473.18426
761	473.1139832
762	473.0831447
763	472.9915294
764	472.9243415
765	472.8304288
766	472.6657204
767	472.5806757
768	472.5355761
769	472.4865014
770	472.4162168
771	472.3574031
772	472.281748
773	472.1879888
774	472.124839
775	472.0375916
776	471.953061
777	471.8498061
778	471.8145325
779	471.7312689
780	471.6938185
781	471.5399562
782	471.4582259
783	471.3529717
784	471.2836587
785	471.2074771
786	471.1346406
787	470.9529048
788	470.8568625
789	470.7838642
790	470.7127382
791	470.6454362
792	470.5651717
793	470.475023
794	470.4459788
795	470.3148159
796	470.1910639
797	470.0496091
798	469.9883484
799	469.9321307
800	469.8056514
801	469.7086768
802	469.632739
803	469.5662815
804	469.5412371
805	469.4304046
806	469.3840113
807	469.2507154
808	469.1316677
809	469.0201504
810	468.8917163
811	468.8153868
812	468.7717779
813	468.681912
814	468.5975861
815	468.5014261
816	468.4061614
817	468.3224132
818	468.2265793
819	468.1001007
820	468.0580771
821	467.9252792
822	467.8249108
823	467.7190185
824	467.6126018
825	467.5293647
826	467.4215693
827	467.3811981
828	467.3013374
829	467.1728592
830	467.1386019
831	467.0665481
832	466.9718609
833	466.9225354
834	466.8671812
835	466.766402
836	466.6058359
837	466.5296982
838	466.4238632
839	466.3127481
840	466.2286221
841	466.1506087
842	466.0007658
843	465.9527509
844	465.9311546
845	465.8478008
846	465.7050488
847	465.6728414
848	465.5647929
849	465.5281709
850	465.4460965
851	465.3668388
852	465.2521544
853	465.1434682
854	465.1097874
855	465.0188774
856	464.9593636
857	464.8560545
858	464.7866999
859	464.6908182
860	464.6178328
861	464.5894044
862	464.497332
863	464.4174266
864	464.3518259
865	464.3209573
866	464.1941903
867	464.091896
868	464.0086865
869	463.954543
870	463.8184619
871	463.7475269
872	463.6911259
873	463.6430583
874	463.4973303
875	463.4690601
876	463.3994928
877	463.3288166
878	463.2461484
879	463.1654904
880	463.0464781
881	463.0024458
882	462.9817565
883	462.9125239
884	462.7364985
885	462.6534452
886	462.5934809
887	462.5820702
888	462.512262
889	462.4583031
890	462.349313
891	462.3233037
892	462.2424678
893	462.2124769
894	462.1887874
895	462.1253267
896	462.0433627
897	462.0127169
898	461.9656038
899	461.9212913
900	461.8388664
901	461.7665233
902	461.6754288
903	461.5848876
904	461.4997948
905	461.4168056
906	461.3465054
907	461.2502722
908	461.207423
909	461.1401668
910	461.0573276
911	460.9419154
912	460.880205
913	460.8627483
914	460.7765074
915	460.6765109
916	460.5942754
917	460.555376
918	460.4802143
919	460.3910314
920	460.3634266
921	460.297644
922	460.2488339
923	460.1595773
924	460.0657733
925	460.0208274
926	459.9616568
927	459.8976025
928	459.823263
929	459.7368859
930	459.6107975
931	459.5356095
932	459.4267045
933	459.3555541
934	459.2560666
935	459.1031203
936	459.0452506
937	458.9977442
938	458.9272461
939	458.9144442
940	458.7845832
941	458.7052265
942	458.5526705
943	458.4926224
944	458.4383627
945	458.4203632
946	458.3511805
947	458.2995796
948	458.2371486
949	458.1660213
950	458.0494435
951	458.0310941
952	457.9175767
953	457.8495824
954	457.8325365
955	457.7826991
956	457.7594825
957	457.6916512
958	457.6295324
959	457.594278
960	457.5577727
961	457.4661163
962	457.4051351
963	457.3311212
964	457.2255051
965	457.177491
966	457.1466593
967	457.1115304
968	457.0729707
969	457.0608305
970	457.0500577
971	457.0041419
972	456.946454
973	456.890286
974	456.813691
975	456.7043905
976	456.6276917
977	456.5222459
978	456.411756
979	456.3492594
980	456.2841209
981	456.1304967
982	456.0853478
983	456.0081729
984	455.9522206
985	455.9192362
986	455.8740203
987	455.7804711
988	455.712959
989	455.6453757
990	455.5630782
991	455.4661564
992	455.3631448
993	455.3056451
994	455.2589727
995	455.2247361
996	455.1276627
997	454.9978797
998	454.9518339
999	454.9021835
